_id,ags2,bundesland,ags5,kreis,kr_pkw_dichte
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,379
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,324
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,373
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,439
121,06,Hessen,06431,Bergstraße,598
122,06,Hessen,06432,Darmstadt-Dieburg,587
123,06,Hessen,06433,Groß-Gerau,508
124,06,Hessen,06434,Hochtaunus,557
125,06,Hessen,06435,Main-Kinzig,574
126,06,Hessen,06436,Main-Taunus,564
127,06,Hessen,06437,Odenwaldkreis,604
128,06,Hessen,06438,Offenbach,540
129,06,Hessen,06439,Rheingau-Taunus,616
130,06,Hessen,06440,Wetterau,582
131,06,Hessen,06531,Gießen,526
132,06,Hessen,06532,Lahn-Dill,601
133,06,Hessen,06533,Limburg-Weilburg,606
134,06,Hessen,06534,Marburg-Biedenkopf,544
135,06,Hessen,06535,Vogelsberg,648
136,06,Hessen,06611,Kreisfreie Stadt Kassel,388
137,06,Hessen,06631,Fulda,594
138,06,Hessen,06632,Hersfeld-Rotenburg,618
139,06,Hessen,06633,Kassel,603
140,06,Hessen,06634,Schwalm-Eder,635
141,06,Hessen,06635,Waldeck-Frankenberg,628
142,06,Hessen,06636,Werra-Meißner,593
143,07,Rheinland-Pfalz,07111,Stadt Koblenz,460
144,07,Rheinland-Pfalz,07131,Ahrweiler,616
145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),607
146,07,Rheinland-Pfalz,07133,Bad Kreuznach,591
147,07,Rheinland-Pfalz,07134,Birkenfeld,604
148,07,Rheinland-Pfalz,07135,Cochem-Zell,644
149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,605
150,07,Rheinland-Pfalz,07138,Neuwied,605
151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,634
152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,619
153,07,Rheinland-Pfalz,07143,Westerwaldkreis,627
154,07,Rheinland-Pfalz,07211,Stadt Trier,422
155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,626
156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,633
157,07,Rheinland-Pfalz,07233,Vulkaneifel,646
158,07,Rheinland-Pfalz,07235,Trier-Saarburg,641
159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),501
160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,440
161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,516
162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,428
163,07,Rheinland-Pfalz,07315,Stadt Mainz,388
164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,555
165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,507
166,07,Rheinland-Pfalz,07318,Stadt Speyer,515
167,07,Rheinland-Pfalz,07319,Stadt Worms,502
168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,572
169,07,Rheinland-Pfalz,07331,Alzey-Worms,631
170,07,Rheinland-Pfalz,07332,Bad Dürkheim,650
171,07,Rheinland-Pfalz,07333,Donnersbergkreis,637
172,07,Rheinland-Pfalz,07334,Germersheim,603
173,07,Rheinland-Pfalz,07335,Kaiserslautern,620
174,07,Rheinland-Pfalz,07336,Kusel,659
175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,656
176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,629
177,07,Rheinland-Pfalz,07339,Mainz-Bingen,599
178,07,Rheinland-Pfalz,07340,Südwestpfalz,682
179,08,Baden-Württemberg,08111,Stuttgart,358
180,08,Baden-Württemberg,08115,Böblingen,558
181,08,Baden-Württemberg,08116,Esslingen,552
182,08,Baden-Württemberg,08117,Göppingen,586
183,08,Baden-Württemberg,08118,Ludwigsburg,559
184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,563
185,08,Baden-Württemberg,08121,"Heilbronn, Stadt",466
186,08,Baden-Württemberg,08125,"Heilbronn, Kreis",606
187,08,Baden-Württemberg,08126,Hohenlohekreis,627
188,08,Baden-Württemberg,08127,Schwäbisch Hall,611
189,08,Baden-Württemberg,08128,Main-Tauber-Kreis,623
190,08,Baden-Württemberg,08135,Heidenheim,588
191,08,Baden-Württemberg,08136,Ostalbkreis,595
192,08,Baden-Württemberg,08211,Baden-Baden,534
193,08,Baden-Württemberg,08212,"Karlsruhe, Stadt",372
194,08,Baden-Württemberg,08215,"Karlsruhe, Kreis",580
195,08,Baden-Württemberg,08216,Rastatt,605
196,08,Baden-Württemberg,08221,Heidelberg,314
197,08,Baden-Württemberg,08222,Mannheim,405
198,08,Baden-Württemberg,08225,Neckar-Odenwald-Kreis,611
199,08,Baden-Württemberg,08226,Rhein-Neckar-Kreis,564
200,08,Baden-Württemberg,08231,Pforzheim,435
201,08,Baden-Württemberg,08235,Calw,605
202,08,Baden-Württemberg,08236,Enzkreis,612
203,08,Baden-Württemberg,08237,Freudenstadt,598
204,08,Baden-Württemberg,08311,Freiburg im Breisgau,339
