GENESIS-Tabelle: 81000-0002
VGR des Bundes - Bruttowertschöpfung, Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(nominal/preisbereinigt): Deutschland, Quartale, Original-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
;;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;79,188;75,432;77,317;78,412;81,028;77,249;77,774;79,538;80,884;78,793;79,074;79,979;82,222;78,990;81,150;81,561;79,500;74,253;80,412;83,423;81,142;81,773;79,180;85,933;87,590;...;...;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;757,377;771,827;778,712;785,748;784,613;782,192;799,668;810,108;795,658;799,365;803,148;812,908;807,914;800,349;817,674;818,884;795,658;709,639;788,320;803,224;771,676;786,202;810,714;817,825;802,846;...;...;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;2,2;3,6;1,9;1,4;3,6;1,3;2,7;3,1;1,4;2,2;0,4;0,3;1,5;0,1;1,8;0,7;-1,5;-11,3;-3,6;-1,9;-3,0;10,8;2,8;1,8;4,0;...;...;...
Originalwerte;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttowertschöpfung;jew. ME;678,175;696,401;701,430;707,365;713,510;714,848;732,038;740,846;735,536;741,482;745,036;754,163;761,525;757,013;772,931;773,737;767,546;681,035;758,762;771,490;758,086;773,253;802,515;803,495;807,725;...;...;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;79,185;75,429;77,315;78,410;81,541;77,740;78,265;80,038;82,804;80,663;80,950;81,881;85,826;82,450;84,704;85,134;84,104;78,557;85,069;88,255;81,055;81,682;79,092;85,838;91,934;...;...;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttoinlandsprodukt;jew. ME;757,360;771,830;778,745;785,775;795,051;792,588;810,303;820,884;818,340;822,145;825,986;836,044;847,351;839,463;857,635;858,871;851,650;759,592;843,831;859,745;839,141;854,935;881,607;889,333;899,659;...;...;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
Originalwerte;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Bruttowertschöpfung;jew. ME;696,421;703,035;706,180;711,014;719,828;732,470;743,554;751,991;750,065;759,405;759,988;770,278;777,269;779,809;786,447;793,008;783,672;706,288;772,870;780,204;781,900;791,516;822,144;822,322;830,125;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;77,935;77,255;78,098;78,977;81,819;80,226;80,014;81,095;83,249;82,948;83,074;83,336;85,615;84,528;86,548;85,988;83,400;79,178;75,986;78,626;76,349;84,061;88,792;94,901;94,936;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;774,356;780,290;784,278;789,991;801,647;812,696;823,568;833,086;833,314;842,353;843,062;853,614;862,884;864,337;872,995;878,996;867,072;785,466;848,856;858,830;858,249;875,577;910,936;917,223;925,061;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;1,3;0,8;0,5;0,7;1,5;1,4;1,3;1,2;0,0;1,1;0,1;1,3;1,1;0,2;1,0;0,7;-1,4;-9,4;8,1;1,2;-0,1;2,0;4,0;0,7;0,9;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;9418,000;9479,000;9519,000;9580,000;9711,000;9834,000;9959,000;10069,000;10062,000;10165,000;10165,000;10285,000;10391,000;10404,000;10504,000;10572,000;10425,000;9446,000;10208,000;10328,000;10320,000;10527,000;10948,000;11018,000;11114,000;...;...;...
