_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
93,05,nordrhein-westfalen,05554,borken,2.8,7.1,8.5
94,05,nordrhein-westfalen,05558,coesfeld,2.6,6.3,8.2
95,05,nordrhein-westfalen,05562,recklinghausen,3.6,15.1,25.1
96,05,nordrhein-westfalen,05566,steinfurt,2.7,8.1,11.0
97,05,nordrhein-westfalen,05570,warendorf,2.7,8.6,12.1
98,05,nordrhein-westfalen,05711,bielefeld,4.8,15.6,22.7
99,05,nordrhein-westfalen,05754,guetersloh,2.8,7.6,9.6
100,05,nordrhein-westfalen,05758,herford,2.8,9.3,14.4
101,05,nordrhein-westfalen,05762,hoexter,2.0,7.2,9.4
102,05,nordrhein-westfalen,05766,lippe,3.0,10.3,15.1
103,05,nordrhein-westfalen,05770,minden-luebbecke,3.2,10.1,14.6
104,05,nordrhein-westfalen,05774,paderborn,3.5,9.6,12.8
105,05,nordrhein-westfalen,05911,bochum,4.3,15.5,27.1
106,05,nordrhein-westfalen,05913,dortmund,6.5,19.0,30.8
107,05,nordrhein-westfalen,05914,hagen,4.7,17.6,30.5
108,05,nordrhein-westfalen,05915,hamm,3.8,15.4,19.8
109,05,nordrhein-westfalen,05916,herne,4.0,18.7,30.7
110,05,nordrhein-westfalen,05954,ennepe-ruhr-kreis,3.1,11.0,17.5
111,05,nordrhein-westfalen,05958,hochsauerlandkreis,2.8,7.9,10.6
112,05,nordrhein-westfalen,05962,maerkischer kreis,3.1,11.3,16.2
113,05,nordrhein-westfalen,05966,olpe,1.9,6.8,9.2
114,05,nordrhein-westfalen,05970,siegen-wittgenstein,2.6,8.3,12.8
115,05,nordrhein-westfalen,05974,soest,2.9,8.8,11.8
116,05,nordrhein-westfalen,05978,unna,3.2,12.6,20.1
117,06,hessen,06411,kreisfreie stadt darmstadt,5.9,12.3,20.8
118,06,hessen,06412,kreisfreie stadt frankfurt am main,8.8,14.2,20.1
119,06,hessen,06413,kreisfreie stadt offenbach am main,8.9,18.3,29.4
120,06,hessen,06414,landeshauptstadt wiesbaden,6.8,15.3,23.3
121,06,hessen,06431,bergstrasse,2.3,7.4,10.9
122,06,hessen,06432,darmstadt-dieburg,2.2,7.4,11.3
123,06,hessen,06433,gross-gerau,3.0,10.4,17.1
124,06,hessen,06434,hochtaunus,2.5,6.5,9.2
125,06,hessen,06435,main-kinzig,3.1,8.5,13.6
126,06,hessen,06436,main-taunus,2.5,6.4,9.5
127,06,hessen,06437,odenwaldkreis,2.5,8.1,12.8
128,06,hessen,06438,offenbach,3.7,8.6,14.1
129,06,hessen,06439,rheingau-taunus,2.2,7.0,10.9
130,06,hessen,06440,wetterau,3.0,7.5,10.5
131,06,hessen,06531,giessen,4.0,10.4,15.5
132,06,hessen,06532,lahn-dill,3.2,9.8,13.2
133,06,hessen,06533,limburg-weilburg,3.0,9.4,13.7
134,06,hessen,06534,marburg-biedenkopf,2.8,8.1,11.8
135,06,hessen,06535,vogelsberg,2.2,7.3,9.6
136,06,hessen,06611,kreisfreie stadt kassel,7.4,17.0,25.9
137,06,hessen,06631,fulda,3.0,6.8,8.7
138,06,hessen,06632,hersfeld-rotenburg,2.4,7.8,11.2
139,06,hessen,06633,kassel,2.1,7.2,11.0
140,06,hessen,06634,schwalm-eder,2.4,7.5,10.7
141,06,hessen,06635,waldeck-frankenberg,2.6,7.9,10.7
142,06,hessen,06636,werra-meissner,2.8,10.2,15.5
143,07,rheinland-pfalz,07111,stadt koblenz,5.8,12.6,20.2
144,07,rheinland-pfalz,07131,ahrweiler,2.0,6.9,11.1
145,07,rheinland-pfalz,07132,altenkirchen (ww),2.1,7.3,9.6
146,07,rheinland-pfalz,07133,bad kreuznach,2.8,9.5,13.9
147,07,rheinland-pfalz,07134,birkenfeld,2.6,9.0,14.3
148,07,rheinland-pfalz,07135,cochem-zell,2.2,5.8,7.9
149,07,rheinland-pfalz,07137,mayen-koblenz,2.7,7.6,10.7
150,07,rheinland-pfalz,07138,neuwied,3.3,8.9,12.8
151,07,rheinland-pfalz,07140,rhein-hunsrueck-kreis,2.1,6.4,8.4
152,07,rheinland-pfalz,07141,rhein-lahn-kreis,2.3,6.6,10.9
153,07,rheinland-pfalz,07143,westerwaldkreis,1.8,6.0,8.4
154,07,rheinland-pfalz,07211,stadt trier,5.6,9.8,14.2
155,07,rheinland-pfalz,07231,bernkastel-wittlich,2.3,6.0,7.9
156,07,rheinland-pfalz,07232,eifelkreis bitburg-pruem,1.8,5.0,6.8
157,07,rheinland-pfalz,07233,vulkaneifel,2.1,6.3,8.2
158,07,rheinland-pfalz,07235,trier-saarburg,1.9,4.7,6.2
159,07,rheinland-pfalz,07311,stadt frankenthal (pfalz),2.9,10.8,17.7
160,07,rheinland-pfalz,07312,stadt kaiserslautern,6.4,15.2,25.1
161,07,rheinland-pfalz,07313,stadt landau in der pfalz,2.8,9.1,14.3
162,07,rheinland-pfalz,07314,stadt ludwigshafen a. rh.,4.5,15.8,25.1
163,07,rheinland-pfalz,07315,stadt mainz,4.3,10.6,17.8
164,07,rheinland-pfalz,07316,stadt neustadt a.d. w.,2.6,10.0,16.0
165,07,rheinland-pfalz,07317,stadt pirmasens,3.5,18.1,29.2
166,07,rheinland-pfalz,07318,stadt speyer,3.7,9.8,13.7
167,07,rheinland-pfalz,07319,stadt worms,4.1,13.6,21.6
168,07,rheinland-pfalz,07320,stadt zweibruecken,3.4,11.4,16.9
169,07,rheinland-pfalz,07331,alzey-worms,2.0,6.1,9.2
170,07,rheinland-pfalz,07332,bad duerkheim,1.7,6.1,8.9
171,07,rheinland-pfalz,07333,donnersbergkreis,2.2,6.9,10.4
172,07,rheinland-pfalz,07334,germersheim,2.3,6.6,10.2
173,07,rheinland-pfalz,07335,kaiserslautern,1.7,7.2,11.0
174,07,rheinland-pfalz,07336,kusel,1.5,7.8,11.8
175,07,rheinland-pfalz,07337,suedliche weinstrasse,1.7,6.2,8.8
176,07,rheinland-pfalz,07338,rhein-pfalz-kreis,1.1,4.7,7.1
