_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
91,05,nordrhein-westfalen,05513,gelsenkirchen,4612.7,681.6,70.2
92,05,nordrhein-westfalen,05515,muenster,2592.3,1072.2,110.5
93,05,nordrhein-westfalen,05554,borken,913.8,833.5,69.7
94,05,nordrhein-westfalen,05558,coesfeld,630.2,781.2,52.6
95,05,nordrhein-westfalen,05562,recklinghausen,4213.3,696.4,55.0
96,05,nordrhein-westfalen,05566,steinfurt,1050.6,769.3,59.5
97,05,nordrhein-westfalen,05570,warendorf,766.4,788.5,66.0
98,05,nordrhein-westfalen,05711,bielefeld,1719.8,851.5,93.5
99,05,nordrhein-westfalen,05754,guetersloh,521.4,1085.1,91.4
100,05,nordrhein-westfalen,05758,herford,2287.4,841.7,78.6
101,05,nordrhein-westfalen,05762,hoexter,594.2,680.4,56.8
102,05,nordrhein-westfalen,05766,lippe,2434.0,768.0,66.6
103,05,nordrhein-westfalen,05770,minden-luebbecke,1140.5,853.6,78.9
104,05,nordrhein-westfalen,05774,paderborn,795.8,784.6,68.6
105,05,nordrhein-westfalen,05911,bochum,4961.8,757.1,76.6
106,05,nordrhein-westfalen,05913,dortmund,4118.4,791.7,81.1
107,05,nordrhein-westfalen,05914,hagen,6225.6,753.8,84.7
108,05,nordrhein-westfalen,05915,hamm,2391.9,627.6,63.3
109,05,nordrhein-westfalen,05916,herne,5024.8,578.5,65.1
110,05,nordrhein-westfalen,05954,ennepe-ruhr-kreis,3052.6,870.3,76.9
111,05,nordrhein-westfalen,05958,hochsauerlandkreis,1734.0,856.1,78.0
112,05,nordrhein-westfalen,05962,maerkischer kreis,2267.6,906.1,88.5
113,05,nordrhein-westfalen,05966,olpe,675.0,972.8,88.2
114,05,nordrhein-westfalen,05970,siegen-wittgenstein,2110.9,943.1,92.7
115,05,nordrhein-westfalen,05974,soest,1395.1,826.8,71.7
116,05,nordrhein-westfalen,05978,unna,2687.0,748.1,66.4
117,06,hessen,06411,kreisfreie stadt darmstadt,3419.0,1163.9,123.4
118,06,hessen,06412,kreisfreie stadt frankfurt am main,2077.7,1876.2,231.6
119,06,hessen,06413,kreisfreie stadt offenbach am main,7184.9,789.4,87.0
120,06,hessen,06414,landeshauptstadt wiesbaden,1223.7,1332.5,112.9
121,06,hessen,06431,bergstrasse,2181.0,979.4,46.7
122,06,hessen,06432,darmstadt-dieburg,1794.9,986.1,45.5
123,06,hessen,06433,gross-gerau,4067.0,935.8,73.9
124,06,hessen,06434,hochtaunus,4585.0,1405.4,79.9
125,06,hessen,06435,main-kinzig,3224.2,967.7,55.8
126,06,hessen,06436,main-taunus,3113.1,1753.7,85.0
127,06,hessen,06437,odenwaldkreis,2542.2,747.3,43.2
128,06,hessen,06438,offenbach,4159.3,1111.4,67.8
129,06,hessen,06439,rheingau-taunus,3901.1,947.4,38.7
130,06,hessen,06440,wetterau,2121.1,894.1,42.9
131,06,hessen,06531,giessen,2260.4,846.7,55.6
132,06,hessen,06532,lahn-dill,3297.0,919.0,63.5
133,06,hessen,06533,limburg-weilburg,1917.4,868.4,46.6
134,06,hessen,06534,marburg-biedenkopf,1736.3,951.3,64.1
135,06,hessen,06535,vogelsberg,2610.4,723.9,46.6
136,06,hessen,06611,kreisfreie stadt kassel,2008.0,1012.8,113.6
137,06,hessen,06631,fulda,1218.4,812.9,61.6
138,06,hessen,06632,hersfeld-rotenburg,3995.7,680.5,65.3
139,06,hessen,06633,kassel,2709.1,833.9,56.6
140,06,hessen,06634,schwalm-eder,2681.0,720.0,40.3
141,06,hessen,06635,waldeck-frankenberg,2533.9,775.4,54.8
142,06,hessen,06636,werra-meissner,3655.5,627.5,42.8
143,07,rheinland-pfalz,07111,stadt koblenz,3492.3,1124.0,116.3
144,07,rheinland-pfalz,07131,ahrweiler,1526.3,687.3,38.0
145,07,rheinland-pfalz,07132,altenkirchen (ww),3550.6,663.2,48.1
146,07,rheinland-pfalz,07133,bad kreuznach,2729.7,692.0,53.6
147,07,rheinland-pfalz,07134,birkenfeld,4621.2,618.9,57.0
148,07,rheinland-pfalz,07135,cochem-zell,2384.9,636.4,41.7
149,07,rheinland-pfalz,07137,mayen-koblenz,2605.1,755.7,52.0
150,07,rheinland-pfalz,07138,neuwied,3086.2,803.9,61.0
151,07,rheinland-pfalz,07140,rhein-hunsrueck-kreis,1384.1,756.4,52.4
152,07,rheinland-pfalz,07141,rhein-lahn-kreis,2409.4,674.1,40.6
153,07,rheinland-pfalz,07143,westerwaldkreis,1233.6,816.4,53.8
154,07,rheinland-pfalz,07211,stadt trier,6497.0,730.5,83.0
155,07,rheinland-pfalz,07231,bernkastel-wittlich,3188.3,775.5,55.6
156,07,rheinland-pfalz,07232,eifelkreis bitburg-pruem,2980.6,605.7,48.3
157,07,rheinland-pfalz,07233,vulkaneifel,3263.1,686.4,48.7
158,07,rheinland-pfalz,07235,trier-saarburg,2917.6,525.7,27.7
159,07,rheinland-pfalz,07311,stadt frankenthal (pfalz),4937.1,757.4,70.8
160,07,rheinland-pfalz,07312,stadt kaiserslautern,8409.5,873.4,89.6
161,07,rheinland-pfalz,07313,stadt landau in der pfalz,1883.6,827.2,73.8
162,07,rheinland-pfalz,07314,stadt ludwigshafen a. rh.,6953.3,1105.7,149.3
163,07,rheinland-pfalz,07315,stadt mainz,5485.9,996.6,109.4
164,07,rheinland-pfalz,07316,stadt neustadt a.d. w.,1934.5,780.0,54.9
165,07,rheinland-pfalz,07317,stadt pirmasens,9630.2,696.3,93.6
166,07,rheinland-pfalz,07318,stadt speyer,3944.4,1020.0,90.8
167,07,rheinland-pfalz,07319,stadt worms,5270.0,856.2,72.0
168,07,rheinland-pfalz,07320,stadt zweibruecken,7410.0,861.7,89.5
169,07,rheinland-pfalz,07331,alzey-worms,2462.8,713.0,34.9
170,07,rheinland-pfalz,07332,bad duerkheim,3450.4,769.8,36.1
171,07,rheinland-pfalz,07333,donnersbergkreis,5096.9,714.6,44.6
172,07,rheinland-pfalz,07334,germersheim,2429.5,904.4,57.2
173,07,rheinland-pfalz,07335,kaiserslautern,5243.6,637.4,30.5
174,07,rheinland-pfalz,07336,kusel,7572.6,549.1,30.3
175,07,rheinland-pfalz,07337,suedliche weinstrasse,1546.9,734.3,39.6
176,07,rheinland-pfalz,07338,rhein-pfalz-kreis,1433.2,774.9,29.8
177,07,rheinland-pfalz,07339,mainz-bingen,1324.3,1450.8,64.0
178,07,rheinland-pfalz,07340,suedwestpfalz,1707.4,599.0,29.7
179,08,baden-wuerttemberg,08111,stuttgart,33.6,1347.0,142.8
180,08,baden-wuerttemberg,08115,boeblingen,530.4,1328.7,93.2
181,08,baden-wuerttemberg,08116,esslingen,521.3,1155.6,72.9
182,08,baden-wuerttemberg,08117,goeppingen,470.7,912.4,60.0
183,08,baden-wuerttemberg,08118,ludwigsburg,313.6,1190.1,71.6
184,08,baden-wuerttemberg,08119,rems-murr-kreis,400.2,1082.2,62.9
