_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
387,16,thueringen,16063,wartburgkreis,506.5,622.7,48.9
388,16,thueringen,16064,unstrut-hainich-kreis,947.4,508.1,45.9
389,16,thueringen,16065,kyffhaeuserkreis,1618.2,469.9,38.8
390,16,thueringen,16066,schmalkalden-meiningen,295.2,555.8,50.6
391,16,thueringen,16067,gotha,638.8,578.2,55.8
392,16,thueringen,16068,soemmerda,1427.6,567.5,45.0
393,16,thueringen,16069,hildburghausen,701.4,581.8,43.0
394,16,thueringen,16070,ilm-kreis,821.7,641.6,53.1
395,16,thueringen,16071,weimarer land,487.8,577.0,44.3
396,16,thueringen,16072,sonneberg,1279.8,588.4,54.5
397,16,thueringen,16073,saalfeld-rudolstadt,879.9,550.8,56.0
398,16,thueringen,16074,saale-holzland-kreis,542.5,556.5,48.8
399,16,thueringen,16075,saale-orla-kreis,1301.2,578.8,57.6
400,16,thueringen,16076,greiz,993.8,527.1,43.4
401,16,thueringen,16077,altenburger land,1035.8,472.4,45.8
