1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,436,401;100;416,594;7.7;1,243,451;1,451,426;1,061,629;1,569,157;110,738;4,512;4,639;3,124,161;57.5;2,019,211;1,514,667;504,544;699,261;34.6
0;Straftaten gegen das Leben;3,054;0.1;1,844;60.4;907;985;552;602;8;6;128;2,751;90.1;3,838;3,212;626;1,302;33.9
10000;Mord § 211 StGB;720;0;502;69.7;238;213;129;133;7;4;45;658;91.4;884;782;102;319;36.1
10079;Sonstiger Mord;679;0;478;70.4;230;200;119;123;7;4;41;618;91;810;721;89;288;35.6
11000;Mord im Zusammenhang mit Raubdelikten;37;0;23;62.2;7;13;9;8;0;0;4;36;97.3;71;58;13;30;42.3
12000;Mord im Zusammenhang mit Sexualdelikten;4;0;1;25;1;0;1;2;0;0;0;4;100;4;4;0;2;50
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,595;0;1,305;81.8;446;514;305;330;0;2;74;1,518;95.2;2,111;1,891;220;868;41.1
20010;Totschlag § 212 StGB;1,577;0;1,299;82.4;438;510;303;326;0;2;72;1,500;95.1;2,094;1,879;215;866;41.4
20020;Minder schwerer Totschlag § 213 StGB;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
20030;Tötung auf Verlangen § 216 StGB;17;0;6;35.3;7;4;2;4;0;0;2;17;100;16;11;5;2;12.5
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;662;0;0;0;200;236;100;125;1;0;9;501;75.7;774;490;284;83;10.7
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;76;0;37;48.7;23;22;18;13;0;0;0;73;96.1;77;55;22;35;45.5
40010;Schwangerschaftsabbruch § 218 StGB;72;0;36;50;21;20;18;13;0;0;0;69;95.8;73;51;22;35;47.9
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2;0;1;50;2;0;0;0;0;0;0;2;100;2;2;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;69,881;1.3;2,804;4;21,276;19,850;12,367;15,108;1,280;27;1;57,616;82.4;52,322;48,770;3,552;14,030;26.8
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29,606;0.5;1,869;6.3;7,584;8,538;5,742;7,546;196;22;1;23,734;80.2;22,866;22,452;414;8,706;38.1
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9,426;0.2;986;10.5;2,426;2,682;1,790;2,450;78;18;1;7,969;84.5;8,189;8,095;94;3,014;36.8
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8,541;0.2;890;10.4;2,161;2,391;1,618;2,299;72;14;1;7,211;84.4;7,392;7,318;74;2,766;37.4
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);6,766;0.1;787;11.6;1,720;1,843;1,325;1,819;59;6;1;5,798;85.7;5,913;5,869;44;2,277;38.5
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;596;0;43;7.2;143;221;106;122;4;8;0;494;82.9;534;528;6;227;42.5
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,179;0;60;5.1;298;327;187;358;9;0;0;919;77.9;989;965;24;277;28
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;883;0;96;10.9;264;291;171;151;6;4;0;756;85.6;821;801;20;255;31.1
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;368;0;47;12.8;109;123;72;62;2;2;0;313;85.1;349;338;11;108;30.9
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;388;0;44;11.3;112;141;73;59;3;2;0;334;86.1;362;354;8;123;34
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;127;0;5;3.9;43;27;26;30;1;0;0;109;85.8;115;113;2;25;21.7
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;2;0;0;0;1;0;1;0;0;0;0;2;100;2;2;0;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;5,929;0.1;857;14.5;1,762;1,679;1,029;1,404;55;4;0;4,833;81.5;4,789;4,692;97;1,640;34.2
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2,616;0;369;14.1;806;726;402;667;15;2;0;2,116;80.9;2,108;2,075;33;731;34.7
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2,615;0;447;17.1;735;737;508;599;36;2;0;2,126;81.3;2,162;2,113;49;783;36.2
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;698;0;41;5.9;221;216;119;138;4;0;0;591;84.7;568;553;15;138;24.3
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;574;0;26;4.5;212;165;89;99;9;0;0;557;97;514;464;50;75;14.6
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;388;0;21;5.4;151;115;61;54;7;0;0;379;97.7;360;325;35;54;15
