1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
620002;Bildung bewaffneter Gruppen § 127 StGB;3;0;0;0;0;0;2;1;0;0;0;3;100;16;16;0;5;31.3
620003;Bildung krimineller Vereinigungen;19;0;1;5.3;4;5;4;5;1;0;1;16;84.2;146;137;9;85;58.2
620004;Anleitung zu Straftaten;17;0;0;0;2;5;2;5;3;0;0;12;70.6;12;9;3;2;16.7
620005;Amtsanmaßung;1,823;0;0;0;555;520;261;286;201;1;0;759;41.6;792;710;82;92;11.6
620006;Missbrauch von Titeln, Berufsbezeichnungen, Abzeichen;956;0;0;0;352;197;139;211;57;0;0;705;73.7;545;464;81;57;10.5
620007;Verwahrungsbruch;108;0;0;0;25;33;24;25;1;0;0;82;75.9;90;73;17;24;26.7
620008;Verletzung amtlicher Bekanntmachungen;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
620009;Verstrickungsbruch, Siegelbruch;948;0;7;0.7;231;263;141;310;3;0;0;584;61.6;647;525;122;217;33.5
620010;Nichtanzeige geplanter Straftaten;44;0;0;0;4;8;24;8;0;0;0;44;100;50;43;7;9;18
620011;Belohnung und Billigung von Straftaten;148;0;0;0;26;38;31;27;26;0;0;108;73;99;77;22;9;9.1
620013;Missbrauch von Notrufen und Beeinträchtigung von Unfallverhütungs- und Nothilfemitteln;11,622;0.2;0;0;2,550;3,208;2,079;3,712;73;2;1;7,678;66.1;6,829;5,217;1,612;1,422;20.8
620014;Verstoß gegen Weisung während Führungsaufsicht;3,680;0.1;0;0;874;1,424;811;544;27;0;0;3,674;99.8;2,047;1,990;57;284;13.9
620015;Verstoß gegen das Berufsverbot;8;0;0;0;3;3;1;1;0;0;0;8;100;8;8;0;0;0
621000;Widerstand gegen und tätlicher Angriff auf die Staatsgewalt §§ 111, 113-115, 120, 121 StGB;37,778;0.7;242;0.6;7,277;10,631;7,877;11,885;108;28;13;37,041;98;33,629;28,216;5,413;10,225;30.4
621010;Öffentliche Aufforderung zu Straftaten;692;0;0;0;165;122;145;175;85;0;0;454;65.6;464;397;67;33;7.1
621040;Gefangenenbefreiung;319;0;240;75.2;43;70;80;126;0;0;0;292;91.5;397;286;111;127;32
621050;Gefangenenmeuterei;7;0;2;28.6;1;4;1;1;0;0;0;7;100;31;31;0;26;83.9
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;36,760;0.7;0;0;7,068;10,435;7,651;11,583;23;28;13;36,288;98.7;32,851;27,584;5,267;10,063;30.6
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;20,963;0.4;0;0;3,885;6,102;4,465;6,493;18;20;6;20,763;99;19,810;17,172;2,638;6,019;30.4
621120;Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114, 115 StGB;15,797;0.3;0;0;3,183;4,333;3,186;5,090;5;8;7;15,525;98.3;14,645;11,748;2,897;4,548;31.1
622000;Hausfriedensbruch §§ 123, 124 StGB;93,703;1.8;0;0;23,267;26,355;19,287;24,736;58;4;7;83,263;88.9;74,917;59,217;15,700;19,328;25.8
622100;Hausfriedensbruch § 123 StGB;93,634;1.8;0;0;23,261;26,349;19,248;24,718;58;4;7;83,213;88.9;74,800;59,122;15,678;19,324;25.8
622200;Schwerer Hausfriedensbruch § 124 StGB;69;0;0;0;6;6;39;18;0;0;0;50;72.5;129;102;27;4;3.1
623000;Landfriedensbruch §§ 125, 125a StGB;1,378;0;0;0;82;147;363;786;0;2;7;793;57.5;2,531;2,372;159;699;27.6
623010;Landfriedensbruch § 125 StGB;641;0;0;0;68;62;212;299;0;0;0;429;66.9;1,391;1,297;94;308;22.1
623020;Besonders schwerer Landfriedensbruch § 125a StGB;737;0;0;0;14;85;151;487;0;2;7;364;49.4;1,175;1,103;72;392;33.4
624000;Vortäuschen einer Straftat § 145d StGB;7,477;0.1;0;0;2,195;2,532;1,429;1,259;62;0;0;7,269;97.2;7,510;4,829;2,681;1,593;21.2
624010;Vortäuschen einer Straftat gegen die sexuelle Selbstbestimmung;364;0;0;0;92;140;72;58;2;0;0;356;97.8;352;43;309;59;16.8
624079;Vortäuschen einer sonstigen Straftat;5,472;0.1;0;0;1,660;1,865;1,043;851;53;0;0;5,308;97;5,485;3,481;2,004;1,183;21.6
624100;Vortäuschen eines Raubes;566;0;0;0;120;183;125;135;3;0;0;544;96.1;580;463;117;111;19.1
624200;Vortäuschen eines Diebstahls;1,075;0;0;0;323;344;189;215;4;0;0;1,061;98.7;1,135;871;264;247;21.8
624201;Vortäuschen eines Kfz-Diebstahls;393;0;0;0;121;127;55;89;1;0;0;389;99;419;349;70;94;22.4
624279;Vortäuschen eines sonstigen Diebstahls;682;0;0;0;202;217;134;126;3;0;0;672;98.5;718;524;194;154;21.4
626000;Gewaltdarstellung § 131 StGB;831;0;0;0;290;223;153;130;35;0;0;712;85.7;719;661;58;120;16.7
626079;Sonstige Gewaltdarstellung;617;0;0;0;188;168;134;98;29;0;0;506;82;512;471;41;97;18.9
626100;Gewaltdarstellung, Schriften an Personen unter 18 Jahren § 131 Abs. 1 Nr. 3 StGB;214;0;0;0;102;55;19;32;6;0;0;206;96.3;211;194;17;23;10.9
627000;Volksverhetzung § 130 StGB;5,840;0.1;0;0;1,877;1,502;953;1,266;242;0;0;4,529;77.6;4,510;3,877;633;251;5.6
630000;Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB;23,817;0.4;1,970;8.3;5,830;6,791;4,352;6,130;714;0;0;22,445;94.2;23,574;17,883;5,691;8,900;37.8
630010;Begünstigung;99;0;0;0;43;27;11;18;0;0;0;96;97;112;76;36;35;31.3
630020;Strafvereitelung;2,624;0;971;37;923;818;486;373;24;0;0;2,561;97.6;2,793;1,845;948;660;23.6
631000;Hehlerei von Kfz §§ 259-260a StGB;1,223;0;94;7.7;365;330;232;283;13;0;0;1,066;87.2;1,204;1,128;76;603;50.1
