1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,047,860;100;371,382;7.4;1,170,651;1,350,051;973,017;1,419,707;134,434;3,881;4,074;2,963,643;58.7;1,892,003;1,419,594;472,409;639,127;33.8
0;Straftaten gegen das Leben;2,980;0.1;1,588;53.3;901;879;578;610;12;5;114;2,635;88.4;3,519;2,851;668;1,261;35.8
10000;Mord § 211 StGB;643;0;423;65.8;230;157;114;137;5;2;52;606;94.2;724;635;89;281;38.8
10079;Sonstiger Mord;600;0;408;68;215;146;108;126;5;2;49;565;94.2;667;584;83;253;37.9
11000;Mord im Zusammenhang mit Raubdelikten;32;0;13;40.6;13;7;4;8;0;0;3;31;96.9;48;43;5;25;52.1
12000;Mord im Zusammenhang mit Sexualdelikten;11;0;2;18.2;2;4;2;3;0;0;0;10;90.9;10;9;1;3;30
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,468;0;1,128;76.8;377;455;308;323;5;3;62;1,392;94.8;1,875;1,653;222;826;44.1
20010;Totschlag § 212 StGB;1,447;0;1,121;77.5;369;451;306;317;4;3;61;1,374;95;1,856;1,637;219;824;44.4
20020;Minder schwerer Totschlag § 213 StGB;1;0;1;100;0;0;0;1;0;0;0;1;100;1;1;0;0;0
20030;Tötung auf Verlangen § 216 StGB;20;0;6;30;8;4;2;5;1;0;1;17;85;20;16;4;2;10
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;786;0;0;0;275;240;140;130;1;0;0;561;71.4;847;507;340;116;13.7
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;83;0;37;44.6;19;27;16;20;1;0;0;76;91.6;78;60;18;39;50
40010;Schwangerschaftsabbruch § 218 StGB;80;0;37;46.3;19;27;16;17;1;0;0;73;91.3;75;60;15;38;50.7
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;3;0;0;0;0;0;0;3;0;0;0;3;100;3;0;3;1;33.3
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;106,656;2.1;2,663;2.5;32,368;30,076;18,637;20,736;4,839;23;7;90,362;84.7;81,646;72,169;9,477;19,744;24.2
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29,836;0.6;1,646;5.5;7,515;8,592;6,078;7,285;366;21;7;24,222;81.2;23,011;22,486;525;8,279;36
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9,903;0.2;808;8.2;2,532;2,725;1,909;2,583;154;17;3;8,457;85.4;8,676;8,558;118;3,174;36.6
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;9,238;0.2;748;8.1;2,394;2,536;1,774;2,396;138;12;3;7,913;85.7;8,098;7,994;104;2,988;36.9
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);7,656;0.2;661;8.6;1,990;2,091;1,489;1,964;122;7;2;6,623;86.5;6,679;6,597;82;2,502;37.5
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;518;0;46;8.9;141;169;103;98;7;5;1;431;83.2;517;507;10;198;38.3
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1,064;0;41;3.9;263;276;182;334;9;0;0;859;80.7;951;939;12;303;31.9
