1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,555,520;100;423,408;7.6;1,263,346;1,483,814;1,106,157;1,600,300;101,903;3,819;4,524;3,206,507;57.7;2,051,266;1,541,130;510,136;708,380;34.5
0;Straftaten gegen das Leben;3,254;0.1;1,968;60.5;1,069;967;548;659;11;4;109;3,007;92.4;3,721;3,122;599;1,362;36.6
10000;Mord § 211 StGB;901;0;649;72;362;227;124;181;7;0;45;859;95.3;853;746;107;329;38.6
10079;Sonstiger Mord;851;0;622;73.1;342;213;118;171;7;0;42;811;95.3;764;661;103;296;38.7
11000;Mord im Zusammenhang mit Raubdelikten;42;0;24;57.1;17;12;3;10;0;0;3;40;95.2;82;78;4;34;41.5
12000;Mord im Zusammenhang mit Sexualdelikten;8;0;3;37.5;3;2;3;0;0;0;0;8;100;10;10;0;2;20
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,570;0;1,278;81.4;459;475;305;329;2;4;62;1,515;96.5;1,982;1,764;218;888;44.8
20010;Totschlag § 212 StGB;1,553;0;1,272;81.9;450;472;301;328;2;4;57;1,497;96.4;1,965;1,752;213;887;45.1
20020;Minder schwerer Totschlag § 213 StGB;3;0;3;100;2;0;1;0;0;0;0;3;100;3;3;0;1;33.3
20030;Tötung auf Verlangen § 216 StGB;14;0;3;21.4;7;3;3;1;0;0;5;15;107.1;15;10;5;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;680;0;0;0;221;237;99;122;1;0;2;540;79.4;802;551;251;109;13.6
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;102;0;41;40.2;27;28;19;27;1;0;0;93;91.2;98;74;24;39;39.8
40010;Schwangerschaftsabbruch § 218 StGB;79;0;38;48.1;25;20;16;17;1;0;0;76;96.2;81;65;16;36;44.4
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;5;0;2;40;1;3;0;1;0;0;0;5;100;5;5;0;3;60
40030;Ärztliche Pflichtverletzung § 218c StGB;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;17;0;1;5.9;1;5;2;9;0;0;0;12;70.6;12;4;8;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
